Brand,Model,Slug,Track Size
"American Direction Drill","DD4","american-direction-drill-dd4","300x52.5x84"
"American Direction Drill","DD6","american-direction-drill-dd6","400x73x74"
"American Direction Drill","DD6","american-direction-drill-dd6","400x72.5x74"
"American Direction Drill","DD8","american-direction-drill-dd8","400x73x74"
"American Direction Drill","DD8","american-direction-drill-dd8","400x72.5x74"
"Ammann","AMX65","ammann-amx65","400x72.5x76"
"Ammann","AMX85ZT","ammann-amx85zt","450x76x82"
"Andreoli","UT60EVO","andreoli-ut60evo","230x78x42"
"Angel","WY1.3","angel-wy13","230x72x43"
"Angel","WY2.5","angel-wy25","300x55x76"
"Angel","WY2.5","angel-wy25","300x52.5x78"
"Angel","WY3.5","angel-wy35","300x55x82"
"Angel","WY3.5","angel-wy35","300x52.5x84"
"Antec","A12B","antec-a12b","230x72x43"
"Antec","A14sa","antec-a14sa","230x72x43"
"Antec","HCC1051D","antec-hcc1051d","180x72x37"
"Apageo","450","apageo-450","250x72x52"
"Apageo","580","apageo-580","250x72x52"
"Apageo","LWC100","apageo-lwc100","250x72x57"
"Aros China","1.5","aros-china-15","230x72x43"
"Astec","Mini-Excavator","astec-mini-excavator","250x72x56"
"Astec","Mini-Excavator","astec-mini-excavator","300x52.5x92"
"Atex","XC750D","atex-xc750d","200x72x38"
"Atex","XC750D","atex-xc750d","180x72x38"
"Atex","XG450M","atex-xg450m","200x72x39"
"Athena","1090","athena-1090","250x72x64"
"Atlas","100","atlas-100","200x72x41"
"Atlas","100B","atlas-100b","200x72x41"
"Atlas","100CT","atlas-100ct","200x72x41"
"Atlas","110","atlas-110","200x72x41"
"Atlas","1104","atlas-1104","200x72x41"
"Atlas","120","atlas-120","230x72x43"
"Atlas","120AB","atlas-120ab","230x72x42"
"Atlas","120RF","atlas-120rf","230x72x43"
"Atlas","404","atlas-404","230x72x43"
"Atlas","404R","atlas-404r","230x72x43"
"Atlas","604","atlas-604","250x72x57"
"Atlas","604.2","atlas-6042","300x109x39"
"Atlas","604.2","atlas-6042","300x52.5x80"
"Atlas","604R","atlas-604r","250x72x57"
"Atlas","605R","atlas-605r","400x72.5x72"
"Atlas","805R","atlas-805r","450x71x86"
"Atlas","AM29R","atlas-am29r","300x55x72"
"Atlas","AM29R","atlas-am29r","300x52.5x74"
"Atlas","AM37R","atlas-am37r","300x52.5x86"
"Atlas","AP604","atlas-ap604","230x72x43"
"Atlas","AP604","atlas-ap604","320x100x41"
"Atlas","AR100","atlas-ar100","230x72x42"
"Atlas","AR120","atlas-ar120","230x72x42"
"Atlas","CT045","atlas-ct045","200x72x34"
"Atlas","CT045","atlas-ct045","180x72x34"
"Atlas","CT100","atlas-ct100","200x72x41"
"Atlas","CT100R","atlas-ct100r","200x72x41"
"Atlas","CT10N","atlas-ct10n","230x72x43"
"Atlas","CT120","atlas-ct120","230x72x42"
"Atlas","CT12N","atlas-ct12n","230x72x43"
"Atlas","CT27N","atlas-ct27n","300x109x36"
"Atlas","CT27N","atlas-ct27n","300x52.5x74"
"Atlas","CT30N","atlas-ct30n","300x109x39"
"Atlas","CT30N","atlas-ct30n","300x52.5x80"
"Atlas","CT35N","atlas-ct35n","300x109x41"
"Atlas","CT35N","atlas-ct35n","300x52.5x84"
"Atlas","CT50N","atlas-ct50n","400x142x38"
"Atlas","CT50N","atlas-ct50n","400x72.5x74"
"Atlas","CT7NX","atlas-ct7nx","180x72x37"
"Atlas","ISO7","atlas-iso7","180x72x37"
"Ausa","25CM","ausa-25cm","180x60x30"
"Ausa","75","ausa-75","200x72x42"
"Ausa","80CMA","ausa-80cma","250x72x48"
"Ausa","MH08","ausa-mh08","180x72x38"
"Ausa","MH15","ausa-mh15","230x48x66"
