Brand,Model (Raw),Model (Clean),Slug,Track Sizes,Has Bottom Roller Data,Has Sprocket Data,Has Idler Data,Has Carrier Roller Data
"Atlas","100B","100B","atlas-100b","200x72x41","NO","NO","NO","NO"
"Atlas","100CT","100CT","atlas-100ct","200x72x41","NO","NO","NO","NO"
"Atlas","110","110","atlas-110","200x72x41","NO","NO","NO","NO"
"Atlas","1104","1104","atlas-1104","200x72x41","NO","NO","NO","NO"
"Atlas","120","120","atlas-120","230x72x43","NO","NO","NO","NO"
"Atlas","120AB","120AB","atlas-120ab","230x72x42","NO","NO","NO","NO"
"Atlas","120RF","120RF","atlas-120rf","230x72x43","NO","NO","NO","NO"
"Atlas","404","404","atlas-404","230x72x43","NO","NO","NO","NO"
"Atlas","404R","404R","atlas-404r","230x72x43","NO","NO","NO","NO"
"Atlas","604","604","atlas-604","250x72x57","NO","NO","NO","NO"
"Atlas","604.2","604.2","atlas-6042","300x109x39; 300x52.5x80","NO","NO","NO","NO"
"Atlas","604R","604R","atlas-604r","250x72x57","NO","NO","NO","NO"
"Atlas","605R","605R","atlas-605r","400x72.5x72","NO","NO","NO","NO"
"Atlas","805R","805R","atlas-805r","450x71x86","NO","NO","NO","NO"
"Atlas","AM29R","AM29R","atlas-am29r","300x55x72; 300x52.5x74","NO","NO","NO","NO"
"Atlas","AM37R","AM37R","atlas-am37r","300x52.5x86","NO","NO","NO","NO"
"Atlas","AP604","AP604","atlas-ap604","230x72x43; 320x100x41","NO","NO","NO","NO"
"Atlas","AR100","AR100","atlas-ar100","230x72x42","NO","NO","NO","NO"
"Atlas","AR120","AR120","atlas-ar120","230x72x42","NO","NO","NO","NO"
"Atlas","CT045","CT045","atlas-ct045","200x72x34; 180x72x34","NO","NO","NO","NO"
"Atlas","CT100","CT100","atlas-ct100","200x72x41","NO","NO","NO","NO"
"Atlas","CT100R","CT100R","atlas-ct100r","200x72x41","NO","NO","NO","NO"
"Atlas","CT10N","CT10N","atlas-ct10n","230x72x43","NO","NO","NO","NO"
"Atlas","CT120","CT120","atlas-ct120","230x72x42","NO","NO","NO","NO"
"Atlas","CT12N","CT12N","atlas-ct12n","230x72x43","NO","NO","NO","NO"
"Atlas","CT27N","CT27N","atlas-ct27n","300x109x36; 300x52.5x74","NO","NO","NO","NO"
"Atlas","CT30N","CT30N","atlas-ct30n","300x109x39; 300x52.5x80","NO","NO","NO","NO"
"Atlas","CT35N","CT35N","atlas-ct35n","300x109x41; 300x52.5x84","NO","NO","NO","NO"
"Atlas","CT50N","CT50N","atlas-ct50n","400x142x38; 400x72.5x74","NO","NO","NO","NO"
"Atlas","CT7NX","CT7NX","atlas-ct7nx","180x72x37","NO","NO","NO","NO"
"Atlas","ISO7","ISO7","atlas-iso7","180x72x37","NO","NO","NO","NO"
"Ausa","25CM","25CM","ausa-25cm","180x60x30","NO","NO","NO","NO"
"Ausa","75","75","ausa-75","200x72x42","NO","NO","NO","NO"
"Ausa","80CMA","80CMA","ausa-80cma","250x72x48","NO","NO","NO","NO"
"Ausa","MH08","MH08","ausa-mh08","180x72x38","NO","NO","NO","NO"
"Ausa","MH15","MH15","ausa-mh15","230x48x66; 230x96x33","NO","NO","NO","NO"
"Ausa","MH25","MH25","ausa-mh25","300x52.5x74","NO","NO","NO","NO"
"Ausa","MH35","MH35","ausa-mh35","300x52.5x84","NO","NO","NO","NO"
"Ausa","MH35R","MH35R","ausa-mh35r","300x52.5x84","NO","NO","NO","NO"
"Ausa","MH55","MH55","ausa-mh55","400x72.5x72","NO","NO","NO","NO"
"Ausa","MH75","MH75","ausa-mh75","450x71x86","NO","NO","NO","NO"
"Avant Tecno","Dumper 1200","Dumper1200","avant-tecno-dumper1200","230x72x45","NO","NO","NO","NO"
"Avant Tecno","Dumper 1500","Dumper1500","avant-tecno-dumper1500","250x72x45","NO","NO","NO","NO"
"Awasi","75-6","75-6","awasi-75-6","450x71x86","NO","NO","NO","NO"
"BOART LONGYEAR","DeltaBase 420","DeltaBase420","boart-longyear-deltabase420","450x71x86","NO","NO","NO","NO"
"BOART LONGYEAR","DeltaBase 430","DeltaBase430","boart-longyear-deltabase430","450x71x86","NO","NO","NO","NO"
"Babyack","Babyack 1","Babyack1","babyack-babyack1","190x72x37; 180x72x37","NO","NO","NO","NO"
"Babyack","Babyack 2","Babyack2","babyack-babyack2","180x72x34","NO","NO","NO","NO"
"Bandit","19XP","19XP","bandit-19xp","400x72.5x76","NO","NO","NO","NO"
"Bandit","3200","3200","bandit-3200","300x52.5x84","NO","NO","NO","NO"
"Baraladi","EB40","EB40","baraladi-eb40","230x72x43","NO","NO","NO","NO"
"Baraladi","FB1.02","FB1.02","baraladi-fb102","230x72x43","NO","NO","NO","NO"
