Make,Model,Track Sizes (Base),Track Sizes (Display),Track Sizes (Canonical w/ N/W)
Airman,AX25-1,300x55x74;250x52.5x76;300x52.5x76,300x55x74 (Narrow);250x52.5x76;300x52.5x76 (Narrow),300x55x74(N);250x52.5x76;300x52.5x76(N)
Airman,AX25-2,300x55x74;250x52.5x76;300x52.5x76,300x55x74 (Narrow);250x52.5x76;300x52.5x76 (Narrow),300x55x74(N);250x52.5x76;300x52.5x76(N)
Airman,AX25-3,250x52.5x73;300x52.5x72,250x52.5x73;300x52.5x72 (Narrow),250x52.5x73;300x52.5x72(N)
Airman,AX26U-6,300x52.5x80,300x52.5x80 (Narrow),300x52.5x80(N)
Airman,AX27,300x52.5x78,300x52.5x78 (Narrow),300x52.5x78(N)
Airman,AX27U,300x52.5x78,300x52.5x78 (Narrow),300x52.5x78(N)
Airman,AX27U-4,300x52.5x80,300x52.5x80 (Narrow),300x52.5x80(N)
Airman,AX29UCGL,300x52.5x78,300x52.5x78 (Narrow),300x52.5x78(N)
Airman,AX30,300x55x80;300x52.5x82,300x55x80 (Narrow);300x52.5x82 (Narrow),300x55x80(N);300x52.5x82(N)
Airman,AX30-1,300x52.5x82;300x52.5x86,300x52.5x82 (Narrow);300x52.5x86 (Narrow),300x52.5x82(N);300x52.5x86(N)
Airman,AX30-2,300x55x80;300x52.5x82,300x55x80 (Narrow);300x52.5x82 (Narrow),300x55x80(N);300x52.5x82(N)
Airman,AX30-3,300x52.5x82,300x52.5x82 (Narrow),300x52.5x82(N)
Airman,AX30U-4,300x52.5x86,300x52.5x86 (Narrow),300x52.5x86(N)
Airman,AX30UR,300x52.5x76,300x52.5x76 (Narrow),300x52.5x76(N)
Airman,AX30UR-1,300x55x74;250x52.5x76;300x52.5x76,300x55x74 (Narrow);250x52.5x76;300x52.5x76 (Narrow),300x55x74(N);250x52.5x76;300x52.5x76(N)
Airman,AX30UR-2,300x55x74;250x52.5x76;300x52.5x76,300x55x74 (Narrow);250x52.5x76;300x52.5x76 (Narrow),300x55x74(N);250x52.5x76;300x52.5x76(N)
Airman,AX30UR-3,300x52.5x82,300x52.5x82 (Narrow),300x52.5x82(N)
Airman,AX32U,300x52.5x82,300x52.5x82 (Narrow),300x52.5x82(N)
Airman,AX33MU,300x52.5x82,300x52.5x82 (Narrow),300x52.5x82(N)
Airman,AX33U,300x52.5x82,300x52.5x82 (Narrow),300x52.5x82(N)
Airman,AX33U-6,300x52.5x82,300x52.5x82 (Narrow),300x52.5x82(N)
Airman,AX35,300x55x80;300x52.5x82,300x55x80 (Narrow);300x52.5x82 (Narrow),300x55x80(N);300x52.5x82(N)
Airman,AX35-1,300x55x80;300x52.5x82,300x55x80 (Narrow);300x52.5x82 (Narrow),300x55x80(N);300x52.5x82(N)
Airman,AX35-2,300x52.5x82,300x52.5x82 (Narrow),300x52.5x82(N)
Airman,AX35CGL-3,300x52.5x82,300x52.5x82 (Narrow),300x52.5x82(N)
Airman,AX35U,300x52.5x86,300x52.5x86 (Narrow),300x52.5x86(N)
Airman,AX35U-4,300x52.5x86,300x52.5x86 (Narrow),300x52.5x86(N)
Airman,AX36U,300x52.5x86,300x52.5x86 (Narrow),300x52.5x86(N)
Airman,AX36UCGL,300x52.5x86,300x52.5x86 (Narrow),300x52.5x86(N)
Airman,AX38UCGL,300x52.5x86,300x52.5x86 (Narrow),300x52.5x86(N)
Airman,AX40,400x72.5x72,400x72.5x72,400x72.5x72
Airman,AX40-2,400x72.5x72,400x72.5x72,400x72.5x72
