brand,model_name,full_name,equipment_type,created_at,updated_at
Hitachi,CG55,Hitachi CG55,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Hitachi,CG60,Hitachi CG60,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Hitachi,CG65,Hitachi CG65,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Hyundai,HSL650-7,Hyundai HSL650-7,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Hyundai,HSL810-7,Hyundai HSL810-7,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Hyundai,HSL850-7A,Hyundai HSL850-7A,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Hyundai,HSL1000T-7A,Hyundai HSL1000T-7A,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Hyundai,HSL1200T-7A,Hyundai HSL1200T-7A,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
IHI,CL20,IHI CL20,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
IHI,CL25,IHI CL25,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
IHI,CL27,IHI CL27,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
IHI,CL30,IHI CL30,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
IHI,CL35,IHI CL35,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
IHI,CL40,IHI CL40,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
IHI,CL45,IHI CL45,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
IHI,CL50,IHI CL50,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
JCB,150T,JCB 150T,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
JCB,180T,JCB 180T,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
JCB,190T,JCB 190T,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
JCB,205T,JCB 205T,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
JCB,220T,JCB 220T,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
JCB,260T,JCB 260T,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
JCB,300T,JCB 300T,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
JCB,320T,JCB 320T,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
JCB,325T,JCB 325T,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
JCB,330T,JCB 330T,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
JCB,370,JCB 370,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,315D,John Deere 315D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,317,John Deere 317,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,317G,John Deere 317G,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,319D,John Deere 319D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,319E,John Deere 319E,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,323D,John Deere 323D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,323E,John Deere 323E,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,325G,John Deere 325G,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,329D,John Deere 329D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,329E,John Deere 329E,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,331D,John Deere 331D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,331E,John Deere 331E,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,331G,John Deere 331G,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,333D,John Deere 333D,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,333E,John Deere 333E,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,333G,John Deere 333G,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,CT322,John Deere CT322,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
John Deere,CT332,John Deere CT332,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kobelco,SK25SR,Kobelco SK25SR,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kobelco,SK27SR,Kobelco SK27SR,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kobelco,SK30SR,Kobelco SK30SR,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kobelco,SK35SR,Kobelco SK35SR,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kobelco,SK45SR,Kobelco SK45SR,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kobelco,SK55SR,Kobelco SK55SR,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Komatsu,CK20,Komatsu CK20,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Komatsu,CK25,Komatsu CK25,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Komatsu,CK30,Komatsu CK30,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Komatsu,CK35,Komatsu CK35,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kubota,SCL1000,Kubota SCL1000,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kubota,SCL1000R,Kubota SCL1000R,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kubota,SVL65,Kubota SVL65,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kubota,SVL65-2,Kubota SVL65-2,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kubota,SVL75,Kubota SVL75,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kubota,SVL75-2,Kubota SVL75-2,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kubota,SVL75-2C,Kubota SVL75-2C,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
Kubota,SVL75-3,Kubota SVL75-3,Track Loader,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
