ID,Size,Price,Width Variant,Inventory Count,Is In Stock,Description
69236a1cdad3779b7fe481fd,457x100.6x51,,,,,
68fd94219c5aa599a844bee2,400x86x56,,,,,
69236a1cdad3779b7fe481ff,457x100x51,,,,,
68fd94219c5aa599a844bee1,400x86x60,,,,,
68fd94219c5aa599a844be74,230x96x36,,,,,
68fd94219c5aa599a844be76,250x96x38,,,,,
68fd94219c5aa599a844be77,250x48x76,,,,,
68fd94219c5aa599a844bee3,300x55x74,,,,,
68fd94219c5aa599a844bee6,300x52.5x90,,,,,
68fd94219c5aa599a844bee7,350x52.5x90,,,,,
68fd94219c5aa599a844be40,450x71x84,,,,,
68fd94219c5aa599a844bee9,450x81x78,,,,,
68fd94219c5aa599a844bee9,450x81x78,,Narrow,,,
68fd94219c5aa599a844beea,400x146x35,,,,,
68fd94219c5aa599a844beeb,260x52.5x74,,,,,
68fd94219c5aa599a844be5d,300x52.5x84,,Wide,,,
68fd94219c5aa599a844beec,400x73x70,,,,,
68fd94219c5aa599a844bec5,320x100x52,,,,,
68fd94219c5aa599a844bec6,200x72x40,,,,,
68fd94219c5aa599a844bef3,180x72x43,,,,,
68fd94219c5aa599a844bef4,250x72x42,,,,,
68fd94219c5aa599a844bef5,250x72x2,,,,,
68fd94219c5aa599a844bec7,230x72x47,,,,,
68fd94219c5aa599a844bec8,320x86x48,,,,,
68fd94219c5aa599a844bec9,230x96x42,,,,,
68fd94219c5aa599a844bedd,180x72x32,,,,,
68fd94219c5aa599a844beed,320x100x43,,,,,
68fd94219c5aa599a844be56,280x72x48,,,,,
68fd94219c5aa599a844beee,180x72x31,,,,,
68fd94219c5aa599a844beef,230x72x48,,,,,
,250x72x43,,,,,
68fd94219c5aa599a844bef0,200x72x43,,,,,
68fd94219c5aa599a844bef1,250x72x44,,,,,
68fd94219c5aa599a844bef2,250x72x55,,,,,
68fd94219c5aa599a844bef6,300x55x77,,,,,
68fd94219c5aa599a844bef7,190x72x39,,,,,
68fd94219c5aa599a844bef8,320x52.5x82,,,,,
68fd94219c5aa599a844bef9,170x60x37,,,,,
68fd94219c5aa599a844befa,230x72x54,,,,,
68fd94219c5aa599a844befb,300x52.52x84,,,,,
68fd94219c5aa599a844befc,450x81x74,,,,,
68fd94219c5aa599a844befd,300x109x44,,,,,
,300x52.5x98,,Narrow,,,
,320x52.5x92,,Narrow,,,
,320x52.5x98,,Narrow,,,
68fd94219c5aa599a844be62,400x72.5x82,,,,,
68fd94219c5aa599a844befe,2303x72x56,,,,,
68fd94219c5aa599a844beff,230x72x40,,,,,
68fd94219c5aa599a844bf00,180x723x37,,,,,
68fd94219c5aa599a844bf01,320x109x39,,,,,
68fd94219c5aa599a844bf02,320x100x44,,,,,
68fd94219c5aa599a844bf03,280x52.5x82,,,,,
,280x52x582,,Narrow,,,
,300x55x71,,,,,
68fd94219c5aa599a844be3d,450x76x84,,,,,
68fd94219c5aa599a844bf04,300x55x80,,,,,
68fd94219c5aa599a844be78,250x109x37,,,,,
68fd94219c5aa599a844bf07,450x76x80,,,,,
68fd94219c5aa599a844bf08,300x54x72,,,,,
68fd94219c5aa599a844be6f,300x55x84,,,,,
68fd94219c5aa599a844be72,400x75.5x74,,,,,
68fd94219c5aa599a844bf09,450x83.5x74,,,,,
68fd94219c5aa599a844bf05,300x109x37,,,,,
68fd94219c5aa599a844bf0a,300x55x76,,,,,
68fd94219c5aa599a844bf0b,450x86x42,,,,,
68fd94219c5aa599a844bf0c,400x86x42,,,,,
68fd94219c5aa599a844bf0d,180x72x57,,,,,
,300x52x574,,Narrow,,,
68fd94219c5aa599a844bf0e,320x109x36,,,,,
68fd94219c5aa599a844bf0f,230x96x41,,,,,
68fd94219c5aa599a844bf10,320x100x40,,,,,
68fd94219c5aa599a844bf11,200x96x28,,,,,
68fd94219c5aa599a844bf12,230x96x66,,,,,
68fd94219c5aa599a844bf15,230x96x40,,,,,
68fd94219c5aa599a844be50,250x48x80,,,,,
68fd94219c5aa599a844bf13,230x96x38,,,,,
68fd94219c5aa599a844be47,180x72x35,,,,,
68fd94219c5aa599a844bf14,500x92x72,,,,,
68fd94219c5aa599a844be69,485x92x72,,,,,
68fd94219c5aa599a844bf17,350x109x42,,,,,
68fd94219c5aa599a844bf16,250x96x39,,,,,
68fd94219c5aa599a844bf18,200x96x33,,,,,
68fd94219c5aa599a844bf19,200x96x31,,,,,
68fd94219c5aa599a844bf1a,200x96x35,,,,,
68fd94219c5aa599a844bf1b,500x92x84,,,,,
68fd94219c5aa599a844bf1c,250x52.5x77,,,,,
68fd94219c5aa599a844bf1c,250x52.5x77,,Narrow,,,
68fd94219c5aa599a844bf1d,300x52.5x77,,,,,
68fd94219c5aa599a844bf1e,400x725x72,,,,,
68fd94219c5aa599a844bf06,400x142x39,,,,,
68fd94219c5aa599a844bf1f,450x163x38,,,,,
68fd94219c5aa599a844bf20,400x72.5x78,,,,,
68fd94219c5aa599a844bf5b,320x100x38,,,,,
68fd94219c5aa599a844be46,180x72x41,,,,,
68fd94219c5aa599a844be3f,400x72.5x74,,Narrow,,,
68fd94219c5aa599a844bf22,300x72x45,,,,,
68fd94219c5aa599a844bf23,200x72x35,,,,,
